,ref,text
0,"{'title': 'The hormone resistin links obesity to diabetes', 'doi': None, 'authors': ['Claire M Steppan', 'Shannon T Bailey', 'Savitha Bhat', 'Elizabeth J Brown', 'Ronadip R Banerjee', 'Christopher M Wright', 'Hiralben R Patel', 'Rexford S Ahima', 'Mitchell A Lazar']}","protein folding | chaperokine R esistin, a small cysteine-rich secreted protein, is predominantly produced in human macrophages (1,2)"
1,"{'title': u'Resistin is expressed in human macrophages and directly regulated by PPAR\u03b3 activators', 'doi': None, 'authors': ['Lisa Patel', 'Amy C Buckels', 'Ian J Kinghorn', 'Paul R Murdock', 'Joanna D Holbrook', 'Christopher Plumpton', 'Colin H Macphee', 'Stephen A Smith']}","protein folding | chaperokine R esistin, a small cysteine-rich secreted protein, is predominantly produced in human macrophages (1,2)"
2,"{'title': u'Human resistin stimulates the pro-inflammatory cytokines TNF-\u03b1 and IL-12 in macrophages by NF-\u03baB-dependent pathway', 'doi': None, 'authors': ['Nirupama Silswal', 'Anil K Singh', 'Battu Aruna', 'Sangita Mukhopadhyay', 'Sudip Ghosh', 'Nasreen Z Ehtesham']}","We, and later others, showed that human resistin (hRes) is a proinflammatory molecule that stimulates the synthesis and secretion of TNF-α and IL-12 from macrophages through an NF-κB-activated pathway (4,5)"
3,"{'title': 'Role of resistin in inflammation and inflammation-related diseases', 'doi': None, 'authors': ['S S Pang', 'Y Y Le']}","We, and later others, showed that human resistin (hRes) is a proinflammatory molecule that stimulates the synthesis and secretion of TNF-α and IL-12 from macrophages through an NF-κB-activated pathway (4,5)"
4,"{'title': 'Resistin messenger-RNA expression is increased by proinflammatory cytokines in vitro', 'doi': None, 'authors': ['S Kaser', 'A Kaser', 'A Sandhofer', 'C F Ebenbichler', 'H Tilg', 'J R Patsch']}","hRes mRNA levels are strongly induced by TNF-α and IL-6 in human peripheral blood mononuclear cells (6,7)"
5,"{'title': 'An Inflammatory Cascade Leading to Hyperresistinemia in Humans', 'doi': None, 'authors': ['Michael Lehrke', 'Muredach P Reilly', 'Segan C Millington', 'Nayyar Iqbal', 'Daniel J Rader', 'Mitchell A Lazar']}","hRes mRNA levels are strongly induced by TNF-α and IL-6 in human peripheral blood mononuclear cells (6,7)"
6,"{'title': 'The genomic organization of mouse resistin reveals major differences from the human resistin: functional implications', 'doi': None, 'authors': ['Sudip Ghosh', 'Anil K Singh', 'Battu Aruna', 'Sangita Mukhopadhyay', 'Nasreen Z Ehtesham']}","Although human and mouse resistin share 64.4 and 59% sequence homology at mRNA and amino acids levels, respectively, they differ considerably in terms of their structural organization (8)"
7,"{'title': u'Human Recombinant Resistin Protein Displays a Tendency To Aggregate by Forming Intermolecular Disulfide Linkages\u2020', 'doi': None, 'authors': ['Battu Aruna', 'Sudip Ghosh', 'Anil K Singh', 'Shekhar C Mande', 'V Srinivas', 'Radha Chauhan', 'Nasreen Z Ehtesham']}","We earlier reported, based on extensive biophysical analyses, that recombinant human resistin (rhRes) is a highly stable molecule that exists in oligomeric states as a function of concentration with no major loss in helicity and displays slightly altered tertiary structure with an increase in temperature (9,10)"
8,"{'title': u'Biophysical Analyses of Human Resistin: Oligomer Formation Suggests Novel Biological Function\u2020', 'doi': None, 'authors': ['Battu Aruna', 'Asimul Islam', 'Sudip Ghosh', 'Anil K Singh', 'Malladi Vijayalakshmi', 'Faizan Ahmad', 'Nasreen Z Ehtesham']}","We earlier reported, based on extensive biophysical analyses, that recombinant human resistin (rhRes) is a highly stable molecule that exists in oligomeric states as a function of concentration with no major loss in helicity and displays slightly altered tertiary structure with an increase in temperature (9,10)"
9,"{'title': 'Correlation of Membrane Binding and Hydrophobicity to the Chaperone-Like Activity of PDC-109, the Major Protein of Bovine Seminal Plasma', 'doi': None, 'authors': ['Rajeshwer S Sankhala', 'Rajani S Damai', 'Musti J Swamy']}","The variable oligomeric states and poly-dispersity of hRes are features often attributed to chaperones (11,12)"
10,"{'title': 'Alpha-crystallin can act as a chaperone under conditions of oxidative stress', 'doi': None, 'authors': ['K Wang', 'A Spector']}","The variable oligomeric states and poly-dispersity of hRes are features often attributed to chaperones (11,12)"
11,"{'title': 'Endoplasmic Reticulum Stress Regulates Adipocyte Resistin Expression', 'doi': None, 'authors': ['M I Lefterova', 'S E Mullican', 'T Tomaru', 'M Qatanani', 'M Schupp', 'M A Lazar']}",mRNA levels of resistin were earlier found to be down-regulated during endoplasmic reticulum (ER) stress in rodent adipocytes (13).
12,"{'title': 'Comparative protein modelling by satisfaction of spatial restraints', 'doi': None, 'authors': ['A Sali', 'T L Blundell']}","The 3D structures of the trimeric and hexameric forms of wild-type hRes, built using MODELER by using mouse resistin as a template (14)  (Fig S1A), generated rmsd values of 0.213 and 0.533 Å for trimer and hexamer, respectively"
13,"{'title': u'Human Recombinant Resistin Protein Displays a Tendency To Aggregate by Forming Intermolecular Disulfide Linkages\u2020', 'doi': None, 'authors': ['Battu Aruna', 'Sudip Ghosh', 'Anil K Singh', 'Shekhar C Mande', 'V Srinivas', 'Radha Chauhan', 'Nasreen Z Ehtesham']}","Our earlier studies (9,10) showed that the molecular mass of hRes varied between 11.3 and 600 kDa in solution"
14,"{'title': u'Biophysical Analyses of Human Resistin: Oligomer Formation Suggests Novel Biological Function\u2020', 'doi': None, 'authors': ['Battu Aruna', 'Asimul Islam', 'Sudip Ghosh', 'Anil K Singh', 'Malladi Vijayalakshmi', 'Faizan Ahmad', 'Nasreen Z Ehtesham']}","Our earlier studies (9,10) showed that the molecular mass of hRes varied between 11.3 and 600 kDa in solution"
15,"{'title': 'Assaying proteins for molecular chaperone activity', 'doi': None, 'authors': ['J L Garrett']}",Light-scattering assay to monitor aggregation was carried out by measuring absorbance (320 nm) of thermally denatured citrate synthase (CS) (15) and Nde1 in the absence or presence of rhRes/F49YrhRes (Fig 1)
16,"{'title': 'The molecular chaperone concept', 'doi': None, 'authors': ['R J Ellis']}","We then examined whether rhRes can protect CS and Nde1 from thermal aggregation, a property common to most chaperones (16)"
17,"{'title': u'Erratum to \u201cComparative studies of resistin expression and phylogenomics in human and mouse\u201d [Biochem. Biophys. Res. Commun. 310 (2003) 927\u2013935]', 'doi': None, 'authors': ['Rong-Ze Z Yang', 'Qing Huang', 'Aihua Xu', 'John C Mclenithan', 'Jonathan A Eisen', 'Alan R Shuldiner', 'Serhan Alkan', 'Da-Wei Gong']}",The human leukemic monocyte lymphoma cell line U937 was used for these studies as they were shown to express resistin in high abundance (18)
18,"{'title': u'Human resistin stimulates the pro-inflammatory cytokines TNF-\u03b1 and IL-12 in macrophages by NF-\u03baB-dependent pathway', 'doi': None, 'authors': ['Nirupama Silswal', 'Anil K Singh', 'Battu Aruna', 'Sangita Mukhopadhyay', 'Sudip Ghosh', 'Nasreen Z Ehtesham']}","Discussion hRes, a small cysteine-rich secretory protein produced in macrophages, although initially proposed to be a link between diabetes and insulin resistance, is emerging as an important player in inflammation (4,5)"
19,"{'title': 'Role of resistin in inflammation and inflammation-related diseases', 'doi': None, 'authors': ['S S Pang', 'Y Y Le']}","Discussion hRes, a small cysteine-rich secretory protein produced in macrophages, although initially proposed to be a link between diabetes and insulin resistance, is emerging as an important player in inflammation (4,5)"
20,"{'title': u'Human Recombinant Resistin Protein Displays a Tendency To Aggregate by Forming Intermolecular Disulfide Linkages\u2020', 'doi': None, 'authors': ['Battu Aruna', 'Sudip Ghosh', 'Anil K Singh', 'Shekhar C Mande', 'V Srinivas', 'Radha Chauhan', 'Nasreen Z Ehtesham']}",Our previous studies showed that rhRes is an extremely stable molecule whose structure was insignificantly altered as a function of temperature (9)
